incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2022-1348,Retention sample for batch D8885A not taken per SOP SOP-058 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium,retention sample for batch d8885a not taken per standard operating procedure standard operating procedure 058 requirements omission identified during annual product review and sample inventory check
INC-2022-1349,Operator OP-6515 set drying temperature to 78.6 degrees C instead of specified 38.8 degrees C for batch C5376C. Deviation noted after 11.7 hours of processing.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,High,operator op 6515 set drying temperatureerature to 78 6 degrees c instead of specified 38 8 degrees c for batch c5376c deviation noted after 11 7 hours of processing
INC-2022-1350,Double dispensing of Magnesium Stearate occurred for batch D3142C. Operator OP-7374 did not check previous dispensing record. Total weight 28.1% above specification.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Medium,double dispensing of magnesium stearate occurred for batch d3142c operator op 7374 did not check previous dispensing record total weight 28 1 above specification
INC-2022-1351,Wrong batch number D9609B entered into batch record for batch B5677A. Documentation error discovered during QA review prior to batch release.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium,wrong batch number d9609b entered into batch record for batch b5677a documentation error discovered during qa review prior to batch release
INC-2022-1352,Operator OP-1591 initiated compression of batch D3844B without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Operator retraining,Enhance supplier qualification process,Medium,operator op 1591 initiated compression of batch d3844b without completing blend uniformity check procedural step bypassed without authorisation
INC-2022-1353,Operator OP-5566 added 21.1% excess of Colloidal Silicon Dioxide to batch B8081C during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Enhance supplier qualification process,High,operator op 5566 added 21 1 excess of colloidal silicon dioxide to batch b8081c during dispensing error not detected until in process check batch placed on hold for investigation
INC-2022-1354,Stability management software ChemStation failed to generate scheduled pull notification for batch C8121B samples. Stability timepoint missed by 60 days.,Software / System Failure,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,stability management software chemstation failed to generate scheduled pull notification for batch c8121b samples stability timepoint missed by 60 days
INC-2022-1355,QA analyst OP-5702 released batch B4404C without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Low,qa analyst op 5702 released batch b4404c without reviewing all in process deviation records one unresolved deviation found post release during annual product review
INC-2022-1356,Two raw material lots LOT-89472 and LOT-76872 mixed in dispensary during weighing for batch C6775A. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Enhance supplier qualification process,Low,two raw material lots lot 89472 and lot 76872 mixed in dispensary during weighing for batch c6775a mix up detected by second operator during verification check
INC-2022-1357,Dissolution profile for batch E8988B failed at 60 minute timepoint. 26.7% dissolved against specification of NLT 84.0%.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Medium,dissolution profile for batch e8988b failed at 60 minute timepoint 26 7 dissolved against specification of nlt 84 0
INC-2022-1358,Visual inspection of batch B7919B identified 45 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High,visual inspection of batch b7919b identified 45 units with visible particulate matter batch held pending particle identification and risk assessment
INC-2022-1359,Yield for batch A9186A was 93.8% against expected yield of 97.8%. Unaccounted material loss triggers investigation.,Process Deviation,Supplier qualification review,Add in-process checks at critical steps,Low,yield for batch a9186a was 93 8 against expected yield of 97 8 unaccounted material loss triggers investigation
INC-2022-1360,Operator OP-5534 performed visual inspection procedure without completing required refresher training. Retraining was overdue by 9 days at time of incident.,Training Gap,Document revision and re-issuance,Introduce dual-person verification,High,operator op 5534 performed visual inspection procedure without completing required refresher training retraining was overdue by 9 days at time of incident
INC-2022-1361,Positive pressure in filling suite Room 101 lost for 4.0 hours due to door seal failure. Batch C7659A aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,Medium,positive pressure in filling suite room 101 lost for 4 0 hours due to door seal failure batch c7659a aseptic filling was in progress at time of exceedance
INC-2022-1362,Gowning procedure not followed correctly by operator OP-9175 entering Grade A filling zone during batch C2734C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium,gowning procedure not followed correctly by operator op 9175 entering grade a filling zone during batch c2734c filling operation non compliance confirmed by cctv review
INC-2022-1363,Particle size distribution of Active Pharmaceutical Ingredient lot LOT-28998 outside specification. D90 measured at 354.0 µm against NMT limit.,Material / Supplier Defect,Product recall and destruction,Upgrade software with validation,High,particle size distribution of active pharmaceutical ingredient lot lot 28998 outside specification d90 measured at 354 0 m against nmt limit
