incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2021-1090,Bulk density of HPMC lot LOT-77849 from ExciPure Corp outside specification. Compressibility index of 9.7% exceeds limit affecting downstream processing.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium
INC-2021-1091,pH meter CEN-631 gave inconsistent readings during in-process checks on batch A4869C. Calibration check failed with 0.25 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,Medium
INC-2021-1092,Bioburden of 40 CFU per 100mL detected in WFI water used for batch D5556A. Alert limit is 10 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Low
INC-2021-1093,Operator OP-5573 used previous batch record template for batch D7608B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,High
INC-2021-1094,Differential pressure between Grade B and Grade C dropped below minimum specification in Room D104 during batch B5362B processing. Pressure alarm triggered.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,Medium
INC-2021-1095,Positive pressure in filling suite Room 101 lost for 7.4 hours due to door seal failure. Batch C8542C aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,High
INC-2021-1096,Fill volume for batch D5096B vials measured outside specification. 27 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,Low
INC-2021-1097,Centrifuge HP-661 imbalance alarm triggered during processing of batch C3111A. Processing halted at 75% completion. Product integrity requires assessment.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2021-1098,Operator OP-5750 added 27.4% excess of Povidone to batch E8032A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,Medium
INC-2021-1099,Visual inspection of batch C4295B identified 49 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,Low
INC-2021-1100,Moisture content of Sodium Starch Glycolate lot LOT-56693 from PackRight Ltd was 3.4% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Low
INC-2021-1101,Microbial contamination found in Magnesium Stearate lot LOT-86383 from PackRight Ltd. Total aerobic count 7 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Implement preventive maintenance schedule,Medium
INC-2021-1102,Incorrect cleaning agent applied to equipment FP-657 following batch A6291C processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2021-1103,QA analyst OP-1540 released batch D5317A without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2021-1104,Tablet weight variation for batch D9670A failed at 50% compression stage. RSD of 7.7% exceeds permitted limit of 4.7%.,Process Deviation,Supplier qualification review,Upgrade software with validation,Medium
INC-2021-1105,Change control CC-7040 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,System configuration correction,Introduce dual-person verification,Medium
INC-2021-1106,Operator OP-2062 used previous batch record template for batch A3108C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High
INC-2021-1107,Tablet weight variation for batch D3753C failed at 75% compression stage. RSD of 2.5% exceeds permitted limit of 7.7%.,Process Deviation,Operator retraining,Increase monitoring frequency,High
INC-2021-1108,Tablet weight variation for batch B8529B failed at 75% compression stage. RSD of 6.5% exceeds permitted limit of 9.2%.,Process Deviation,Batch quarantine and investigation,Increase monitoring frequency,Low
INC-2021-1109,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch E8695A. 14 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2021-1110,HPLC instrument HP-437 produced erratic baseline during analysis of batch D7126A samples. Column pressure exceeded 381 bar. Results invalidated and reanalysis required.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Low
INC-2021-1111,Visual inspection of batch C1132A identified 5 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,High
INC-2021-1112,Temperature excursion in cold storage Room A101 for 4.5 hours. Temperature reached 35.8 degrees C above upper limit. Batch C8384C products affected.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,High
INC-2021-1113,Wrong batch number E5020B entered into batch record for batch C3461A. Documentation error discovered during QA review prior to batch release.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,High
INC-2021-1114,Tablet disintegration for batch A2515B exceeded 5.1 minutes at 15 minute timepoint. Specification limit is NMT 8 minutes.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low
INC-2021-1115,Autoclave CP-152 failed to reach sterilisation temperature of 121 degrees C during cycle for batch A5093C. Maximum recorded temperature was 11.9 degrees C. Load quarantined pending investigation.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Medium
INC-2021-1116,Operator OP-9485 skipped in-process weight check at 25% completion during tablet compression of batch D6892C. Step omitted from batch record.,Human Error,Operator retraining,Revise SOP with enhanced controls,High
INC-2021-1117,Differential pressure between Grade B and Grade C dropped below minimum specification in Room C303 during batch E5429C processing. Pressure alarm triggered.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2021-1118,Laboratory analyst OP-2214 performed testing using method SOP SOP-089 without completing analytical method training qualification record.,Training Gap,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2021-1119,Operator OP-3449 used previous batch record template for batch E3027B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2021-1120,Bulk density of Microcrystalline Cellulose lot LOT-41810 from ChemSource Inc outside specification. Compressibility index of 23.3% exceeds limit affecting downstream processing.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,Low
INC-2021-1121,Moisture content of Povidone lot LOT-15205 from API Solutions was 5.2% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,High
